Country Name,GDP Per Capita Current USD (10Y AVG)
Aruba,28891.121174896758
Africa Eastern and Southern,1544.5320111840272
Afghanistan,509.1589772552508
Africa Western and Central,1809.5213368328225
Angola,2808.4544394528293
Albania,5380.144852529933
Andorra,42025.438815534755
Arab World,6689.006448375938
United Arab Emirates,45362.17822383848
Argentina,12263.551621380177
Armenia,4879.215651922565
American Samoa,14193.351381583281
Antigua and Barbuda,17310.382665058554
Australia,58733.35522842602
Austria,50171.1134916415
Azerbaijan,5763.977683748401
Burundi,238.27594543633998
Belgium,46981.573759006984
Benin,1214.4703714008383
Burkina Faso,772.7023890035521
Bangladesh,1889.8370918439068
Bulgaria,10008.489378708597
Bahrain,25645.3609904303
"Bahamas, The",29812.16967021171
Bosnia and Herzegovina,6053.341134857057
Belarus,6925.986781961514
Belize,6227.103375997659
Bermuda,109301.29434875972
Bolivia,3254.885735542268
Brazil,9407.698931966866
Barbados,18345.468147615637
Brunei Darussalam,32892.43185889943
Bhutan,3224.4019372091616
Botswana,6727.398622422418
Central African Republic,410.6248565137664
Canada,48404.06047473071
Central Europe and the Baltics,16074.267897427007
Switzerland,87834.6893909041
Channel Islands,58810.752523973926
Chile,15017.829850510356
China,9812.407019180284
Cote d'Ivoire,2264.2427269402083
Cameroon,1550.8068456657556
"Congo, Dem. Rep.",531.2533202250767
"Congo, Rep.",2642.5525939537115
Colombia,6672.043456290566
Comoros,1500.9740461121053
Cabo Verde,3645.311532392472
Costa Rica,12428.670146726909
Caribbean small states,12253.303473131382
Cuba,8210.704898742504
Curacao,18975.728380325378
Cayman Islands,83381.55929402835
Cyprus,28777.998579545456
Czechia,22874.907304645272
Germany,46963.55904215383
Djibouti,2768.438558558926
Dominica,7860.509544686098
Denmark,61483.33827177456
Dominican Republic,7894.627107117404
Algeria,4864.755087189744
East Asia & Pacific (excluding high income),7858.244074933508
Early-demographic dividend,3567.0684811114274
East Asia & Pacific,11120.557680823185
Europe & Central Asia (excluding high income),6685.086911811708
Europe & Central Asia,25424.035119077253
Ecuador,6163.258478532542
"Egypt, Arab Rep.",3294.7672534567614
Euro area,38963.10178365686
Eritrea,
Spain,28986.687273922424
Estonia,22854.660814737614
Ethiopia,809.4260568577943
European Union,35163.938338996246
Fragile and conflict affected situations,1903.9350243726074
Finland,49002.73223745825
Fiji,5353.456835824376
France,40765.331726357916
Faroe Islands,60867.809926171845
"Micronesia, Fed. Sts.",3322.143496977852
Gabon,7915.354066426858
United Kingdom,44070.14008628379
Georgia,5088.284064575515
Ghana,2112.6282782031226
Gibraltar,
Guinea,1025.7166077199156
"Gambia, The",692.1956144347572
Guinea-Bissau,753.7207998082755
Equatorial Guinea,9592.04793448959
Greece,19880.051504258237
Grenada,8964.215541985175
Greenland,51240.91938704313
Guatemala,4542.54483877391
Guam,35634.26956859809
Guyana,8829.274218323904
High income,41064.45969354242
"Hong Kong SAR, China",45758.81958011652
Honduras,2495.0939593335447
Heavily indebted poor countries (HIPC),1002.8661300522858
Croatia,15388.611768433439
Haiti,1490.7713650439748
Hungary,16095.80173669902
IBRD only,6436.280531572186
IDA & IBRD total,5119.488415231923
IDA total,1413.832862644442
IDA blend,1882.3482212429385
Indonesia,3982.9906346952193
IDA only,1179.5225960276962
Isle of Man,86180.48415345806
India,1936.5246946796337
Not classified,
Ireland,78027.46304758983
"Iran, Islamic Rep.",4674.011275795732
Iraq,5320.403859477777
Iceland,65132.539782642714
Israel,43749.20925758309
Italy,34076.1402148006
Jamaica,5430.146402302583
Jordan,4193.169546980598
Japan,38242.02411207102
Kazakhstan,10709.98857197937
Kenya,1770.2218584808188
Kyrgyz Republic,1376.2262218955418
Cambodia,1455.3246474961145
Kiribati,1870.5761378393393
St. Kitts and Nevis,20632.099502587535
"Korea, Rep.",31251.2284432997
Kuwait,34383.38860181462
Latin America & Caribbean (excluding high income),8678.291204757008
Lao PDR,2280.4179446583266
Lebanon,6876.103950350675
Liberia,707.339988576967
Libya,9423.598479367716
St. Lucia,10963.26116713483
Latin America & Caribbean,9212.688392242948
Least developed countries: UN classification,1086.249953550522
Low income,709.5042735035445
Liechtenstein,175026.2582528855
Sri Lanka,3952.3015520936974
Lower middle income,2083.4876047637995
Low & middle income,4764.870642503401
Lesotho,1049.3702284368135
Late-demographic dividend,9828.999716722297
Lithuania,19423.02390891777
Luxembourg,118148.08212394854
Latvia,17639.172744032796
"Macao SAR, China",68558.94122679048
St. Martin (French part),20644.1191237108
Morocco,3409.0921963778437
Monaco,195107.43873268465
Moldova,4203.545913852224
Madagascar,500.3253430224666
