Country Name,Gini Index (10Y AVG)
Aruba,
Africa Eastern and Southern,
Afghanistan,
Africa Western and Central,
Angola,51.3
Albania,31.97142857142857
Andorra,
Arab World,
United Arab Emirates,29.25
Argentina,41.93333333333333
Armenia,30.589999999999996
American Samoa,
Antigua and Barbuda,
Australia,34.13333333333333
Austria,30.422222222222224
Azerbaijan,
Burundi,38.05
Belgium,27.277777777777775
Benin,40.03333333333333
Burkina Faso,38.56666666666666
Bangladesh,32.9
Bulgaria,39.41111111111111
Bahrain,
"Bahamas, The",
Bosnia and Herzegovina,
Belarus,25.625
Belize,
Bermuda,
Bolivia,44.51111111111111
Brazil,52.45
Barbados,
Brunei Darussalam,
Bhutan,32.95
Botswana,53.3
Central African Republic,43.0
Canada,32.98571428571429
Central Europe and the Baltics,
Switzerland,32.975
Channel Islands,
Chile,45.48
China,38.6125
Cote d'Ivoire,38.0
Cameroon,44.400000000000006
"Congo, Dem. Rep.",44.7
"Congo, Rep.",
Colombia,52.160000000000004
Comoros,45.3
Cabo Verde,42.4
Costa Rica,48.45
Caribbean small states,
Cuba,
Curacao,
Cayman Islands,
Cyprus,33.08888888888889
Czechia,25.7
Germany,31.514285714285712
Djibouti,42.85
Dominica,
Denmark,28.188888888888886
Dominican Republic,42.58
Algeria,
East Asia & Pacific (excluding high income),
Early-demographic dividend,
East Asia & Pacific,
Europe & Central Asia (excluding high income),
Europe & Central Asia,
Ecuador,45.730000000000004
"Egypt, Arab Rep.",31.733333333333334
Euro area,
Eritrea,
Spain,35.199999999999996
Estonia,31.95555555555556
Ethiopia,35.0
European Union,
Fragile and conflict affected situations,
Finland,27.266666666666666
Fiji,33.7
France,31.86666666666666
Faroe Islands,
"Micronesia, Fed. Sts.",40.1
Gabon,38.0
United Kingdom,32.922222222222224
Georgia,36.46666666666667
Ghana,43.5
Gibraltar,
Guinea,29.6
"Gambia, The",37.349999999999994
Guinea-Bissau,34.099999999999994
Equatorial Guinea,
Greece,34.42222222222222
Grenada,43.8
Greenland,
Guatemala,48.3
Guam,
Guyana,
High income,
"Hong Kong SAR, China",
Honduras,49.34285714285714
Heavily indebted poor countries (HIPC),
Croatia,30.38888888888889
Haiti,
