Country Name,Pupil Teacher Ratio Primary (5Y AVG)
Aruba,
Africa Eastern and Southern,
Afghanistan,48.78979
Africa Western and Central,
Angola,
Albania,17.57287
Andorra,10.49757
Arab World,20.78495
United Arab Emirates,
Argentina,
Armenia,15.41859
American Samoa,
Antigua and Barbuda,12.40564
Australia,
Austria,
Azerbaijan,15.42982
Burundi,42.52383
Belgium,
Benin,39.19712
Burkina Faso,39.72173
Bangladesh,30.05459
Bulgaria,
Bahrain,11.92315
"Bahamas, The",19.44891
Bosnia and Herzegovina,16.92651
Belarus,19.23259
Belize,19.78332
Bermuda,
Bolivia,17.79827
Brazil,
Barbados,13.9917
Brunei Darussalam,9.89521
Bhutan,34.66868
Botswana,
Central African Republic,
Canada,
Central Europe and the Baltics,12.66168
Switzerland,
Channel Islands,
Chile,
China,16.42675
Cote d'Ivoire,41.8223
Cameroon,44.83412
"Congo, Dem. Rep.",
"Congo, Rep.",
Colombia,23.3015
Comoros,28.05781
Cabo Verde,21.07361
Costa Rica,12.2047
Caribbean small states,18.92805
Cuba,9.16029
Curacao,
Cayman Islands,15.74725
Cyprus,
Czechia,
Germany,
Djibouti,29.37453
Dominica,
Denmark,
Dominican Republic,18.92322
Algeria,24.32018
East Asia & Pacific (excluding high income),17.66661
Early-demographic dividend,27.85282
East Asia & Pacific,17.53589
Europe & Central Asia (excluding high income),18.39211
Europe & Central Asia,14.86965
Ecuador,24.26216
"Egypt, Arab Rep.",23.67945
Euro area,13.203
Eritrea,38.74092
Spain,
Estonia,
Ethiopia,
European Union,13.29708
Fragile and conflict affected situations,30.49175
Finland,
Fiji,
France,
Faroe Islands,
"Micronesia, Fed. Sts.",
Gabon,
United Kingdom,
Georgia,8.98194
Ghana,27.12021
Gibraltar,
Guinea,
"Gambia, The",36.13813
Guinea-Bissau,
Equatorial Guinea,
Greece,
Grenada,16.35068
Greenland,
Guatemala,20.26228
Guam,
Guyana,
High income,14.03652
"Hong Kong SAR, China",13.34788
Honduras,
Heavily indebted poor countries (HIPC),39.66142
Croatia,
Haiti,
Hungary,
IBRD only,21.996
IDA & IBRD total,25.328
IDA total,35.45098
IDA blend,34.26502
Indonesia,17.03493
IDA only,35.97722
Isle of Man,
India,
Not classified,
Ireland,
"Iran, Islamic Rep.",
Iraq,
Iceland,
Israel,
Italy,
Jamaica,24.79434
Jordan,18.53699
Japan,
Kazakhstan,18.42685
Kenya,
Kyrgyz Republic,24.98946
Cambodia,41.7035
Kiribati,
St. Kitts and Nevis,
"Korea, Rep.",
Kuwait,8.88073
Latin America & Caribbean (excluding high income),21.57
Lao PDR,22.33717
Lebanon,
Liberia,
Libya,
St. Lucia,14.73909
Latin America & Caribbean,21.30215
Least developed countries: UN classification,37.15033
Low income,39.82732
Liechtenstein,
Sri Lanka,21.73735
Lower middle income,28.87235
Low & middle income,25.44687
Lesotho,
Late-demographic dividend,17.16688
Lithuania,
Luxembourg,
Latvia,
"Macao SAR, China",13.49843
St. Martin (French part),
Morocco,26.80065
Monaco,11.54253
Moldova,17.92314
Madagascar,39.81169
Maldives,
Middle East & North Africa,21.32469
Mexico,
Marshall Islands,
Middle income,23.67467
North Macedonia,
Mali,37.82669
Malta,
Myanmar,24.3599
Middle East & North Africa (excluding high income),23.02361
Montenegro,
Mongolia,30.38318
Northern Mariana Islands,
Mozambique,55.27379
Mauritania,34.27814
Mauritius,16.19841
Malawi,58.67919
Malaysia,
North America,14.42524
Namibia,25.09173
New Caledonia,
Niger,
Nigeria,
Nicaragua,
Netherlands,
Norway,
Nepal,19.74396
Nauru,
New Zealand,
OECD members,15.32034
Oman,9.67394
Other small states,22.81707
Pakistan,44.0773
Panama,
Peru,17.38724
Philippines,
Palau,
Papua New Guinea,
Poland,
Pre-demographic dividend,35.41248
Puerto Rico,
"Korea, Dem. People's Rep.",20.30024
Portugal,
Paraguay,
West Bank and Gaza,24.45322
Pacific island small states,23.07468
Post-demographic dividend,14.12635
French Polynesia,
Qatar,12.1676
Romania,
Russian Federation,
Rwanda,59.50859
South Asia,33.24669
Saudi Arabia,13.81495
Sudan,
Senegal,36.31817
Singapore,
Solomon Islands,25.41046
Sierra Leone,27.52246
El Salvador,26.89473
San Marino,6.93061
Somalia,
Serbia,14.2927
Sub-Saharan Africa (excluding high income),37.36509
South Sudan,
Sub-Saharan Africa,37.36194
Small states,22.18372
Sao Tome and Principe,
Suriname,13.39335
Slovak Republic,
Slovenia,
Sweden,
Eswatini,
Sint Maarten (Dutch part),
Seychelles,14.48826
Syrian Arab Republic,
Turks and Caicos Islands,17.69231
Chad,
East Asia & Pacific (IDA & IBRD countries),17.64651
Europe & Central Asia (IDA & IBRD countries),17.06837
Togo,40.14504
Thailand,16.63844
Tajikistan,
Turkmenistan,
Latin America & the Caribbean (IDA & IBRD countries),21.69085
Timor-Leste,26.94886
Middle East & North Africa (IDA & IBRD countries),23.00915
Tonga,
South Asia (IDA & IBRD),33.24669
Sub-Saharan Africa (IDA & IBRD countries),37.36194
Trinidad and Tobago,
Tunisia,16.87168
Turkiye,
Tuvalu,15.57647
Tanzania,50.63304
Uganda,
Ukraine,12.98011
Upper middle income,18.39381
Uruguay,
United States,
Uzbekistan,21.50664
St. Vincent and the Grenadines,14.39258
"Venezuela, RB",
British Virgin Islands,
Virgin Islands (U.S.),
Viet Nam,20.27696
Vanuatu,
World,23.44631
Samoa,
Kosovo,
"Yemen, Rep.",
South Africa,
Zambia,
Zimbabwe,
