Year,"Literacy rate, adult female (% of females ages 15 and above)","Literacy rate, youth female (% of females ages 15-24)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth male (% of males ages 15-24)","Literacy rate, adult male (% of males ages 15 and above)","Literacy rate, youth (ages 15-24), gender parity index (GPI)","Literacy rate, youth total (% of people ages 15-24)"
1980.0,73.9685363769531,96.159538269043,82.9060516357422,96.4087829589844,91.5662307739258,0.997409999370575,96.2881164550781
1990.0,83.0268478393555,99.084358215332,89.0960006713867,98.8551177978516,95.0931625366211,1.00231003761292,98.9666976928711
2000.0,88.6451797485352,99.6045074462891,92.5494003295898,99.4099884033203,96.5651016235352,1.00195002555847,99.5046005249023
2010.0,93.7748107910156,99.7666702270508,95.8573303222656,99.7378921508789,98.0371398925781,1.00029003620148,99.751823425293
2011.0,94.0683364868164,99.8805923461914,96.1860427856445,99.8936462402344,98.3928375244141,0.999870002269745,99.8871994018555
2012.0,94.3595886230469,99.8929595947266,96.3697891235352,99.8968734741211,98.4694595336914,0.999960005283356,99.8949432373047
2013.0,94.6418685913086,99.901008605957,96.5480194091797,99.8962783813477,98.5425415039062,1.00004994869232,99.8986129760742
2014.0,94.9113235473633,99.9038925170898,96.7166900634766,99.8971633911133,98.609016418457,1.00006997585297,99.9004669189453
2015.0,95.1906509399414,99.8381195068359,96.8254928588867,99.7351531982422,98.5595703125,1.00102996826172,99.7848968505859
2016.0,95.4478912353516,99.9405136108398,97.049560546875,99.9131927490234,98.7344665527344,1.00027000904083,99.9265823364258
2017.0,95.6894683837891,99.9401397705078,97.2022171020508,99.9211578369141,98.7969207763672,1.00019001960754,99.9304428100586
2018.0,95.9194107055664,99.9423675537109,97.344856262207,99.9174194335938,98.8508987426758,1.00024998188019,99.9296264648438
2019.0,96.1347579956055,99.9429016113281,97.4795837402344,99.9137878417969,98.9035186767578,1.00029003620148,99.9280471801758
2020.0,95.8254699707031,99.7870178222656,97.1318511962891,99.6685409545898,98.541862487793,1.0011899471283,99.7262496948242
2021.0,96.4211196899414,99.910041809082,97.6475296020508,99.8739776611328,98.9432220458984,1.00036001205444,99.8915328979492
